Scope 1,,,,
,0.34092,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
,,,,
Wood logs,46.98508,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.01150,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
Wood chips,43.43964,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.01150,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
Wood pellets,55.19389,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.01150,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
Grass/straw,47.35709,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.01273,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
,,,,
Biogas,1.24314,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.00022,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
Landfill gas,0.69696,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.00020,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
,,,,
,,,,
,,,,
,,,,
,,,,
Fugitive Emissions,,,,
Refrigant/Gas,Emisson Factor (Inc. Non Kyoto Products),Unit,Activity Unit,Source
Carbon dioxide,1.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Methane,28.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Nitrous oxide,265.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-23,12400.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-32,677.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-41,116.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-125,3170.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-134,1120.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-134a,1300.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-143,328.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-143a,4800.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-152a,138.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-227ea,3350.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-236fa,8060.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-245fa,858.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-43-I0mee,1650.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluoromethane (PFC-14),6630.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluoroethane (PFC-116),11100.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluoropropane (PFC-218),8900.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluorocyclobutane (PFC-318),9540.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluorobutane (PFC-3-1-10),9200.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluoropentane (PFC-4-1-12),8550.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluorohexane (PFC-5-1-14),7910.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
PFC-9-1-18,7190.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Perfluorocyclopropane,9200.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Sulphur hexafluoride (SF6),23500.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-152,16.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-161,4.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-236cb,1210.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-236ea,1330.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-245ca,716.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-365mfc,804.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Nitrogen trifluoride,16100.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R401A,1130.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R401B,1236.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R401C,876.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R402A,2571.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R402B,2261.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R403A,3100.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R403B,4457.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R404A,3943.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R405A,4821.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R406A,1780.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407A,1923.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407B,2547.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407C,1624.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407D,1487.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407E,1425.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R407F,1674.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R408A,3257.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R409A,1485.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R409B,1474.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R410A,1924.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R410B,2048.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R411A,1555.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R411B,1659.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R412A,2172.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R413A,1945.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R414A,1375.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R414B,1274.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R415A,1468.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R415B,544.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R416A,975.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R417A,2127.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R417B,2742.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R417C,1643.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R418A,1693.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R419A,2688.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R419B,2161.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R420A,1382.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R421A,2385.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R421B,2890.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R422A,2847.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R422B,2290.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R422C,2794.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R422D,2473.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R422E,2350.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R423A,2274.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R424A,2212.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R425A,1431.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R426A,1371.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R427A,2024.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R428A,3417.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R429A,15.30000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R430A,106.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R431A,40.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R432A,1.80000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R433A,0.64000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R433B,0.16000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R433C,0.55000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R434A,3076.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R435A,28.40000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R436A,1.35000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R436B,1.47000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R437A,1639.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R438A,2059.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R439A,1828.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R440A,156.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R441A,0.23000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R442A,1754.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R443A,1.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R444A,89.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R445A,118.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R500,7564.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R501,3870.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R502,4786.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R503,13299.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R504,4299.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R505,7956.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R506,3857.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R507A,3985.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R508A,11607.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R508B,11698.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R509A,5758.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R510A,1.24000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R511A,7.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R512A,196.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
,,,,
CFC-11/R11 = trichlorofluoromethane,4660.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
CFC-12/R12 = dichlorodifluoromethane,10200.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
CFC-13,13900.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
CFC-113,5820.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
CFC-114,8590.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
CFC-115,7670.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Halon-1211,1750.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Halon-1301,6290.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Halon-2402,1470.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Carbon tetrachloride,1730.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Methyl bromide,2.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Methyl chloroform,160.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFC-22/R22 = chlorodifluoromethane,1760.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFC-123,79.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFC-124,527.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFC-141b,782.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFC-142b,1980.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFC-225ca,127.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFC-225cb,525.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFC-21,148.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
,,,,
HFE-125,12400.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-134,5560.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-143a,523.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HCFE-235da2,491.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-245cb2,654.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-245fa2,812.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-254cb2,301.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-347mcc3,530.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-347pcf2,889.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-356pcc3,413.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-449sl (HFE-7100),421.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-569sf2 (HFE-7200),57.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-43-10pccc124 (H-Galden1040x),2820.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-236ca12 (HG-10),5350.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFE-338pcc13 (HG-01),2910.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
,,,,
Trifluoromethyl sulphur pentafluoride,17400.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
PFPMIE,9710.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Dimethylether,1.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Methylene chloride,9.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Methyl chloride,12.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R290 = propane,0.06000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R600A = isobutane,3.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R600 = butane,0.00600,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R601 = n-pentane,5.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R601A = isopentane,5.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R170 = ethane,0.43700,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R1270 = propylene,2.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R1234yf*,1.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
R1234ze*,1.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
,,,,
,,,,
,,,,
,,,,
Scope 2,,,,
,,,,
Purchased Electricity,,,,
Location,Location-based  Emission Factor,Unit,Activity Unit,Source
Ireland,0.2263,kg CO₂e/kWh,kWh,SEAI Emission Factors
UK,0.177,kg CO₂e/kWh,kWh,UK Gov GHG Conversion Factors 2025
EU (Average),0.207,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Austria,0.059,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Belgium,0.15,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Bulgaria,0.293,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Croatia,0.139,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Cyprus,0.575,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Czechia,0.361,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Denmark,0.076,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Estonia,0.538,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Finland,0.033,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
France,0.048,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Germany,0.32,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Greece,0.343,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Hungary,0.142,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Italy,0.25,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Latvia,0.068,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Lithuania,0.078,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Luxembourg,0.041,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Malta,0.341,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Netherlands,0.256,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Poland,0.594,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Portugal,0.115,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Romania,0.226,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Slovakia,0.083,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Slovenia,0.166,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Spain,0.14,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
Sweden,0.008,kg CO₂e/kWh,kWh,EEA 2023 Emission Factors
,,,,
,,,,
,,,,
,,,,
USA grids,,,,
USA (Average) ,0.348,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
ASCC Alaska Grid,0.4106,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
ASCC Miscellaneous,0.2370,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
WECC Southwest,0.3203,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
WECC California,0.1950,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
ERCOT All,0.3341,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
FRCC All,0.3560,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
HICC Miscellaneous,0.5141,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
HICC Oahu,0.6799,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
MRO East,0.6373,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
MRO West,0.4203,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
NPCC New England,0.2464,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
WECC Northwest,0.2882,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
NPCC NYC/Westchester,0.3927,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
NPCC Long Island,0.5395,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
NPCC Upstate NY,0.1101,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
Puerto Rico Miscellaneous,0.7024,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
RFC East,0.2718,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
RFC Michigan,0.2370,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
RFC West,0.4155,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
WECC Rockies,0.4729,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
SPP North,0.3936,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
SPP South,0.3972,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
SERC Mississippi Valley,0.3364,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
SERC Midwest,0.5663,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
SERC South,0.3837,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
SERC Tennessee Valley,0.4097,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
SERC Virginia/Carolina,0.2705,kg CO₂e/kWh,kWh,US EPA  Emission Factors 2023
,,,,
,,,,
,,,,
Purchased Heating,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
Electricity,See above,,,as above for electricity sources
District Heat (Ireland),0.08,kg CO₂e/kwh,Kwh,SEAI (https://www.seai.ie/ber/support-for-ber-assessors/neap/District-Heating-factors-for-BER-calculations.pdf)
District Heat & Steam  (UK),0.17529,kg CO₂e/kwh,Kwh,UK Gov GHG Conversion Factors 2025
,,,,
Purchased Cooling,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
Electricity,See above,,,as above for electricity sources
,,,,
Purchased Steam,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
District Heat & Steam  (UK),0.17529,kg CO₂e/kwh,Kwh,UK Gov GHG Conversion Factors 2025
